texto,sentimiento,sentiment_label,sentiment_probabilities
". javierarenas_pp "" conmigo no habrá ni un solo euro que se gaste sin la firma de los funcionarios de la Junta de Andalucía """,Positivo,1,"[0.0013112443266436458, 0.9986887574195862]"
“DeborahBelieve: David_Busta Le mandas un besito a mi abuela? Esta en el hospital y necesita mimos :)” UN BESAZO ENORME!,Neutral,1,"[0.0007105745607987046, 0.9992893934249878]"
"Necesitamos todos tener nuestro ""drone""?.Agudo articulo de Fukuyama. ",Positivo,1,"[0.0007682113791815937, 0.9992318153381348]"
Aviso a la editorial :)) “Aguirre_angel11:  en la pag 235 de EPN hay un error en donde pone un jarro fría y debería un jarro de agua fría”,Negativo,0,"[0.9968931674957275, 0.003106841119006276]"
aunqu repetido muchas veces no esta mal recordarlo.“NYTimeskrugman: European Crisis Realities ,Negativo,1,"[0.023979127407073975, 0.9760209321975708]"
Ya sabemos algo de lo que le está explicando Urdangarín al juez. Os lo contaremos a las 15h en informativost5,Positivo,1,"[0.0812191441655159, 0.9187808632850647]"
“idolo1985: David_Busta Pues a mí NUNCA ME CONTESTAS! :P” MENTIRA!,Negativo,0,"[0.9993979930877686, 0.0006020413711667061]"
El tesoro de la Mercedes no debe hacernos olvidar que en esa fragata murieron mas de 300 marinos españoles a manos de los ingleses,Negativo,0,"[0.9944374561309814, 0.0055625904351472855]"
Urdangarin a su llegada al juzgado ://w.larazon.es/private/admin/mediateca/multimedia/1751 video de r.COARASA.,Neutral,1,"[0.04656870290637016, 0.9534313082695007]"
"Mucho ánimo a guirodi y su equipo, que mantienen viva la llama en publico_es.",Positivo,1,"[0.00606992281973362, 0.9939301013946533]"
"Se van colocando las piezas del PSOE tras Congreso Sevilla. Hoy, cesarluena elegido Secretario General  PSOELaRioja.",Positivo,1,"[0.0008471116307191551, 0.9991528987884521]"
.“joseramonmoreno: peparomeroanton los cámaras somos armas de destrucción masiva! Y si curramos en Intereconomia MAS AUN! Jajajaja”,Neutral,1,"[0.09302693605422974, 0.9069730043411255]"
Feliz sabado a tods.. ;),Positivo,1,"[0.0002555211540311575, 0.9997444748878479]"
vía“sanabria_luis: Emocionante análisis depedida de Jesus Maraña. Publico ,Positivo,1,"[0.0003337381931487471, 0.9996662139892578]"
Ahí están ! joancarrillo7: Buenafuente estan en twitcam ahora mismo! ,Neutral,0,"[0.502743661403656, 0.4972563683986664]"
Urdangarin señala a Rita Barbera y a Camps. No hablamos de un bolso o de unos trajes: son tres millones de euros ,Neutral,0,"[0.9964532852172852, 0.003546737600117922]"
"Urdangarín implica a Camps y Barberá en el 'caso Nóos'. El PP valenciano, eterno quebradero de cabeza para Rajoy.",Negativo,0,"[0.9995766282081604, 0.0004233367508277297]"
Con el club de fans en Torrevieja ,Positivo,1,"[0.00033300340874120593, 0.9996670484542847]"
"Rt“mariadelamiel: El líder de las protestas de Valencia: ""Aguirre debería mirar bajo su coche"" ",Negativo,0,"[0.9993972778320312, 0.0006027708295732737]"
"..,y los de Manos Limpias por qué se hacen llamar sindicato? En qué comité de empresa está?",Neutral,0,"[0.9993636012077332, 0.0006364514119923115]"
Palomitas dulces para microondas fracasoabsoluto ,Negativo,0,"[0.9990418553352356, 0.0009581671911291778]"
"“UPyD: ""Hemos pillado al PP,sin buscarlo,en una tremenda contradicción y en una tremenda traición"" ",Negativo,0,"[0.9942737221717834, 0.005726303439587355]"
Conexión entre el fractal multipolar del quiosco y el bar de Loli. Creo que los hombres de negro lo visitan a menudo. ,Neutral,0,"[0.8695311546325684, 0.13046880066394806]"
"Para entender la crucial importancia de ese quiosco, hay que leer tuits anteriores puertasdimensionales",Positivo,1,"[0.0005900399410165846, 0.9994099140167236]"
"Buenos días. Cuando Rajoy dice q no hace reformas ""para fastidiar"", esta sugiriendo q ""otros"" si? Y si ""otros"" se equivocaron, xq él no?",Negativo,0,"[0.9995470643043518, 0.00045296765165403485]"
Saldremos d una crisis provocada x una desregulación financiera mediante una desregulación laboral?,Negativo,0,"[0.9963125586509705, 0.0036874518264085054]"
"“Panchovarona: ARRIBA, MARDITA MONAGUILLA Y MONAGUILLO! A misa! Copón!” Alguno sigue hoy su Viacrucis, Padre Prior",Neutral,1,"[0.0421663299202919, 0.9578337073326111]"
“martagg: David_Busta tu rompes el mito que los artistas no se levantan antes de la 1 no?buenos días desde Ibiza” Me he caído de la cama!,Positivo,0,"[0.919101893901825, 0.08089808374643326]"
“DeniseCZambrano: David_Busta saludos desde Ecuador! Amo tú música! Eres Genial! Bendiciones y besos niño hermoso!”BESO!,Positivo,1,"[0.00022927552345208824, 0.9997707009315491]"
“LydiOrtegaRodrg: David_Busta Jo David. Yo quiero un beso tuyo. me mandas uno? Soy mazo fan tuya :'))” UN BESO MAZO FUEE!,Positivo,1,"[0.00023964389401953667, 0.9997603297233582]"
Hasta luego! Disfrutar del domingo!;-),Positivo,1,"[0.0002572405501268804, 0.9997428059577942]"
Manuel Villén considera «muy urgente» el aumento de la plantilla en la Fiscalía de Málaga. ,Negativo,1,"[0.4775294363498688, 0.5224705338478088]"
"C's pedíamos investigar responsabilidades políticas caso Spanair. Todos  partidos en contra,se tapan ls vergüenzas ",Negativo,0,"[0.9993988275527954, 0.0006012161611579359]"
"Mayoría absoluta PSOE Andalucía, impunidad y 1,2 millones parados. Mayoría absoluta del PP, + impunidad + paro y + desigualdad.",Negativo,0,"[0.998275876045227, 0.0017241818131878972]"
La persistencia en las políticas de recortes y la reforma laboral aumentan la recesión q nos lleva en 2012 a 6 millones de parados.,Negativo,0,"[0.9990239143371582, 0.0009760736720636487]"
El poema del domingo (José Ángel Valente) ,Neutral,1,"[0.0011790908174589276, 0.9988208413124084]"
“LARAZON_es: Jorge Fernández Díaz: «ETA debe disolverse por las buenas o por las malas» LARAZON.ES en  ,Negativo,0,"[0.9982072114944458, 0.0017928334418684244]"
hahahshahshshaha “JaimeRubio: Urdangarín asegura que comió un solomillo en Irún y de repente tenía cincuenta millones en el banco.”,Neutral,0,"[0.990209698677063, 0.009790263138711452]"
Por cierto gracias a mis paisanos por ese lleno anticipado en Santander! AUPA CANTABRIA!;-),Positivo,1,"[0.00023396713368128985, 0.9997660517692566]"
"Grego, quise decir.;))",Neutral,1,"[0.0002995286777149886, 0.9997005462646484]"
El Tesoro avala a la banca para q vaya a la subasta del BCE compre dinero al 1% y pueda comprar deuda al 4%. Quien paga ese 3%? Bingo!,Neutral,0,"[0.696029007434845, 0.30397096276283264]"
Estilazo total de borissoler en PadelDospuntoCero clubelcandado ,Positivo,1,"[0.0010378824081271887, 0.9989621639251709]"
Aquí el campeón de la experienciaCandado : borissoler ;-)) todo un profesional del padel ,Positivo,1,"[0.00033606545184738934, 0.9996639490127563]"
La izquierda abertzale lamenta que su posición haya podido 'humillar' a las víctimas ,Negativo,0,"[0.9992714524269104, 0.0007284945459105074]"
"Loli dice que repetía contínuamente ""Sporting de Gijón"".",Neutral,0,"[0.9779810309410095, 0.022018902003765106]"
"El Gobierno de la Junta de Andalucía recortó, por la vía de no gastar, 1.700M de euros destinados a políticas sociales ",Negativo,0,"[0.9993103742599487, 0.0006895714323036373]"
comunicado de hoy de la Poli: “lunaazul543: ,Neutral,1,"[0.06658882647752762, 0.9334111213684082]"
Me encanta ;-))  clubelcandado: Queda oficialmente inaugurado nuestro blog: ,Positivo,1,"[0.0002501471317373216, 0.9997498393058777]"
Encuentran una bomba en un vagón vacío del metro de Atenas - ,Negativo,0,"[0.9995073080062866, 0.000492681807372719]"
Vaya genialidad de CR7 de tacón. 0-1,Positivo,1,"[0.0006117885932326317, 0.9993882179260254]"
"Cuánta mas prisa tengas por encender el ordenador mas tardará en arrancar los programas, leydemurphy",Negativo,0,"[0.9991068243980408, 0.0008931077318266034]"
Iker vuelve a salvar al Madrid. Paradón.,Positivo,1,"[0.0010045540984719992, 0.9989954829216003]"
Hoy no nos vamos a quejar del árbitro. ;),Neutral,1,"[0.0011600174475461245, 0.9988400340080261]"
enriquecidOo: sevillajordi ME HACES ? SOY UN EMPRESARIO JOVEN QUE INTENTA HACERSE HUECO EN EL TURISMO RURAL ,Neutral,1,"[0.002485506935045123, 0.9975144863128662]"
".Jiwert Querido ministro: no es cierto, a no ser que del ""universo"" España excluyas Barcelona, Lleida, Tarragona, Vizcaya, Guipuzcoa.",Negativo,0,"[0.9991087317466736, 0.0008912468911148608]"
"Cuando se den los Oscar, ya habremos cerrado las ediciones impresas. Pongo en portada: No sabemos si Trueba ha ganado, pero 20minutos.es sí",Positivo,1,"[0.013536708429455757, 0.9864633083343506]"
"iescolar Escribiendo un análisis sobre la exclusiva internacional que difundiremos en unas horas. A la una y un minuto, en Publico.es",Positivo,1,"[0.002065835054963827, 0.9979342222213745]"
El problema de la estrategia jurídica de Urdangarin es la respuesta de Torres ¿Aceptará su socio comerse el marrón? A lo mejor si.,Negativo,0,"[0.9995480179786682, 0.00045192649122327566]"
Gracias también a tods los madridistas que nos animaron hasta el final y estaban ahí presentes. Sigamos así. Hala Madrid..!!,Positivo,1,"[0.00026531657204031944, 0.9997346997261047]"
Me reclaman en la cocina. Esa es una llamada que nunca deberíais desatender.,Positivo,1,"[0.0004432049172464758, 0.9995567202568054]"
".Como broma ha estado muy bien!Pero ahora q m quiero ir a la cama,ponerm mi pijama y lavarm los dientes,ya no tiene gracia quieromimaleta",Neutral,0,"[0.9959677457809448, 0.004032221157103777]"
"LOL  ProfesorTweet El co-fundador de Twitter, Biz Stone, ha advertido que pasar muchas horas usando esta red puede ser ""poco saludable"".",Negativo,0,"[0.9972345232963562, 0.002765543758869171]"
Voy a cenar! Ciao!;-),Positivo,1,"[0.0002485514269210398, 0.9997513890266418]"
"Gracias a todos, seguimos sufriendo por lo que veo. Y lo que queda",Negativo,0,"[0.9995912909507751, 0.00040876478306017816]"
. y si patento un puto GPS para maletas?!,Negativo,0,"[0.9994283318519592, 0.0005716681480407715]"
OscarCanalPlus pero me muero de sueño y mañana tengo que madrugar :(,Negativo,1,"[0.01571580022573471, 0.9842841625213623]"
“aberron: En 7 minutos Wikileaks promete liarla parda.” ¿.aa,Neutral,0,"[0.8909674286842346, 0.1090325340628624]"
La privatización del espionaje. La última 'bomba' de Wikileaks en publico_es. Por OscarAbouKassem ,Neutral,0,"[0.995895266532898, 0.004104737192392349]"
Stratfor o la privatización del espionaje ,Neutral,0,"[0.9991505146026611, 0.000849478761665523]"
Grande!!  DavidCacho: Lo único que siempre va a peor en este planeta es la situación en Oriente Próximo y la ceremonia de los Óscar.,Negativo,0,"[0.9993215799331665, 0.0006784538854844868]"
RuthMendezT5: Oscar2012 Oscars Tom Cruise entrega el óscar a mejor película: The Artist !! Hanavizius le plagia el discurso a Trueba,Neutral,1,"[0.0009633770678192377, 0.9990366697311401]"
"Floriano,vicesecretario org. PP,ve dificil d entender q PSOE no apoye medidas,con objetivo d crear empleo y se situe en posicion tan extrema",Negativo,0,"[0.9989211559295654, 0.0010789205553010106]"
Portada ABC ,Neutral,1,"[0.0005537104443646967, 0.9994463324546814]"
Portada  Qué - Valencia ,Neutral,1,"[0.0006039352738298476, 0.9993960857391357]"
Portada  20 Minutos - Bilbao ,Neutral,1,"[0.000435060792369768, 0.9995649456977844]"
"""Es un éxito formidable del cine francés, del cine de calidad"",aseguró Sarkozy en la radio L, tras el triunfo de ""The Artist""en los Óscar",Positivo,1,"[0.00041913616587407887, 0.9995809197425842]"
"7 muertos, 2 heridos graves y 6 leves este fin de semana en accidentes de tráfico, desde las 15h viernes hasta las 24h domingo, (DGT).",Negativo,0,"[0.9920457601547241, 0.007954255677759647]"
"Los abertzales ,por primera vez, manifiestan su profundo pesar por las acciones de ETA y dicen q deberá deshacer sus estructuras militares.",Negativo,0,"[0.9992194175720215, 0.0007805992499925196]"
La propuesta de un solo regulador para todo puede salir cara. Gobierno y poderes económicos esperan menos vigilancia ,Negativo,0,"[0.9996005892753601, 0.00039941599243320525]"
El brasileño Wik Muniz llegará en el último trimestre del año al cacmalaga  ,Neutral,1,"[0.46885010600090027, 0.5311499238014221]"
"Interesantes declaraciones de Torres Dulce en EM: ""Sigo pensando que la actuación de Manzano no es cosa juzgada"".",Negativo,0,"[0.9985753297805786, 0.0014246717328205705]"
"Hoy estoy en Córdoba, en el jurado del premio de periodismo Julio Anguita Parrado. En unas horas decidiremos el ganador de la sexta edición.",Positivo,1,"[0.0003479830047581345, 0.9996520280838013]"
No os perdáis a javier Gimenez haciendo esta noche en crackoviadeTV3 al gran P P Domingo Castaño d  tjcope ,Positivo,1,"[0.0002963916922453791, 0.999703586101532]"
"Financian Times consigue 267.0 suscriptores digitales, 44% de su circulación de 600.0, récord de difusión de pago ",Positivo,1,"[0.000648344517685473, 0.9993516802787781]"
Ya a dormir. Cierro el estudio son las 4:00 de la mañana. Hay noches y noches. Os mando abrazos. Mañana a seguir trabajando. Feliz semana.,Positivo,1,"[0.00025691994233056903, 0.9997430443763733]"
¿ Por qué no mandan las mujeres? - Análisis de 5 años de la Ley de Igualdad en España ,Neutral,0,"[0.9992819428443909, 0.0007180746179074049]"
El ex-ministro Pimentel en OndaCero_es recuerda que el PSOE ha cambiado de opinión. Los 20 días por despido está en la reforma de Zapatero,Neutral,0,"[0.9980687499046326, 0.0019313121447339654]"
La publicidad continuará cayendo hasta mediados 2013. Sólo el audiovisual en internet y los nuevos medios resisten ,Neutral,0,"[0.9993754029273987, 0.0006245865952223539]"
Vamos a hacer todo lo posible para evitar que la contrarreforma del PP contra los derechos de la mujer salga adelante,Negativo,0,"[0.9990222454071045, 0.0009777283994480968]"
"Sarkozy, al contar en su libro el crucerito de comienzo de mandato, ha cambiado yacht por barco ""porque utilizo una palabra francesa"".",Neutral,0,"[0.9556471705436707, 0.04435277730226517]"
"Desde la total discrepancia ideológica, todo el apoyo a la gente del diario Público. El cierre de un medio siempre es una mala noticia",Negativo,0,"[0.9961329698562622, 0.0038669840432703495]"
"Cospedal asegura que los espaÑoles saben que hay que hacer sacrificios y que hay un gobierno sobrio, responsable  y que dice la verdad.",Positivo,1,"[0.0008639666484668851, 0.9991360306739807]"
. Juanma_Moreno y Mjmorito ;-))  ,Positivo,1,"[0.0002865058777388185, 0.9997134804725647]"
Las medidas han paliado la situación de 650 tripulantes en Barbate. Insistiré para que en tiempo récord tengamos el mejor acuerdo de pesca,Positivo,1,"[0.0007411572732962668, 0.999258816242218]"
": el desastre continua “quediario: ""Habría acabado en la cama con el capitán del Costa Concordia"", ",Negativo,0,"[0.9995672106742859, 0.0004328290815465152]"
"Y cuando tengas un rato me cuentas a qué te dedicas, como si fuese un encuentro casual. Me vuelvo a Bilbao, qué vida nómada!",Neutral,1,"[0.008752054534852505, 0.9912478923797607]"
El Rey aplaude la continuidad de Sanz Roldán al frente del CNI ,Positivo,1,"[0.0004314681573305279, 0.999568521976471]"
El próximo día siete de Marzo nos presentamos Izquierda Abierta en Madrid.,Positivo,1,"[0.002690989524126053, 0.9973089694976807]"
Buenas tardes amigs. En la ciudad del fútbol y ahora entrenamiento de La Roja. Contento de volver a ver a mis compañeros.,Positivo,1,"[0.00027970410883426666, 0.9997202754020691]"
"La muerte te hace pasar de cocainómana de Los Angeles a santa Houston, virgen y mártir.",Neutral,0,"[0.9992862343788147, 0.0007138153887353837]"
"Glups JOANMARBA: Buenafuente Si te laman alumno, no vayas por Valencia que caen hostias como panes.",Negativo,0,"[0.9991881251335144, 0.0008118566474877298]"
"2011: la circulación agregada de los diarios de pago españoles cayó un 6,7%; la de los gratuitos, un 2,8%, dice Noticias de la Comunicación",Negativo,1,"[0.1466764509677887, 0.8533235192298889]"
En hora25 a las 22.00 el análisis de la cifra del déficit que acaba de anunciar Montoro. El 8'51%,Negativo,1,"[0.02391616441309452, 0.9760838150978088]"
"“ZI_UR:Con un 8,5%deficit y 23%paro:2 opciones.O bajar el sueldo de funcionarios o subir impuestos. Averiguen que viene” vamosamorirtodos",Negativo,0,"[0.9988470077514648, 0.0011529745534062386]"
No puedo decir mas. Estoy speechless vamosamorirtodos lo avisó Suanzes y hoy lo corroboramos todos. Que desgracia de Salgado y Rubalcaba.,Negativo,0,"[0.9992871880531311, 0.0007128854631446302]"
"La transparencia, confianza y credibilidad eran los objetivos de Montoro cuando convocó la rueda de prensa. Le . ",Positivo,1,"[0.014784288592636585, 0.9852156639099121]"
"Es en la entrevista de 24horas de TVE, a partir de las 22horas.",Neutral,1,"[0.0004997595679014921, 0.9995002746582031]"
¿Por qué algunos jueces del Supremo han modificado su posición respecto a Garzón? ¿Quizás por la teoría de la compensación?,Negativo,0,"[0.9989814162254333, 0.001018553739413619]"
Por último: Miranda intentó hacer ver que la cifra final de déficit dependía de una decisión política del PP. Mentira. Que se vaya ya.,Negativo,0,"[0.9996461868286133, 0.0003537657321430743]"
Uff  voz_populi: Los directores de servicios sociales avisan: o se actúa o habrá un aumento brutal de los suicidios ,Negativo,0,"[0.9995423555374146, 0.0004576659412123263]"
Eso pareceiurquizu Parece que en 2011  no controlaron bien el gasto las comunidades autónomas y no el gobierno central ,Negativo,0,"[0.9994625449180603, 0.0005374315660446882]"
"Apellidos más comunes mundo: 3 chinos, 1 vietnamita, 5º García, 6 González, 7 Hernández, 8 Smith, 9 Smirnov, 10 Müller. ",Neutral,1,"[0.17484134435653687, 0.8251586556434631]"
"Como el Gobierno siga así, cada vez que anuncie un ministro una comparecencia pública vamos a tenernos que meter en el refugio anti bombas.",Negativo,0,"[0.9993844032287598, 0.0006155619048513472]"
Beca para trabjar este verano en AP ,Positivo,1,"[0.00027786268037743866, 0.9997220635414124]"
Videominuto de hoy de esperanzaona ,Neutral,1,"[0.0029638519044965506, 0.9970362186431885]"
Mañana voy al desayuno informativo de Barcina. Tengo la oportunidad de hacer una pregunta por escrito. ¿Cual harías tú?,Positivo,1,"[0.06025306135416031, 0.9397469758987427]"
"Tres años de instrucción, uno y medio de suspensión del juez Garzón, para al final concluir que no hubo nada¿ Justicia o linchamiento?",Negativo,0,"[0.9991289973258972, 0.0008710240945219994]"
"Buenos días.A las 9am asistiré al desayuno-coloquio con Zaryn Dentzel,creador de la red social Tuenti,para Primera plana d elperiodico_cas",Positivo,1,"[0.00030039719422347844, 0.999699592590332]"
"Un muerto y un herido muy grave en una colisión entre un furgón frigorífico y un turismo en AP-2, a la altura de Montoliu de Lleida, Lerida",Negativo,0,"[0.998702883720398, 0.001297105336561799]"
"""el mejor método de educación es la felicidad.para sufrir, la vida es más que suficiente y yo no le voy a ayudar""",Neutral,1,"[0.09731074422597885, 0.9026892185211182]"
"Hoy es el día de Andalucía, esa tierra con bandera blanquiverde que enamora y de la cual me siento tan orgulloso. mi tierra.",Positivo,1,"[0.0004789439553860575, 0.999521017074585]"
"Hoy jornadas de trabajo ""Soluciones para prevenir crisis alimentarias"" organizadas por oxfam_es con expertos de varios ámbitos.",Positivo,1,"[0.0006125313229858875, 0.9993875026702881]"
Rajoy recibe hoy a Fabra y Monago. Soraya comparece en una hora en la comision constitucional del Senado,Neutral,1,"[0.0007860856712795794, 0.9992139339447021]"
"Nunca mejor dicho: ""¡para habernos matao!"", ",Negativo,0,"[0.998863935470581, 0.0011361039942130446]"
"Muy útil, organigrama completo del gobierno de marianorajoy: ",Positivo,1,"[0.009544665925204754, 0.9904553294181824]"
Las pintadas con contra un notario.ya podrían haber pintado en las paredes de su casa.,Negativo,0,"[0.9992243051528931, 0.0007756563136354089]"
"Saliendo de Servimedia, donde he sido sometida al ""tercer grado"" por LuisMiguelBelda, Nino Olmeda y José Manuel González Huesa :-)",Positivo,1,"[0.00030453462386503816, 0.9996955394744873]"
Desde la Sala Clara Campoamor del Senado qué menos que recomendar 'La revolución española vista por una republicana' ,Positivo,0,"[0.9898107051849365, 0.010189279913902283]"
FedericoQuevedo mananascuatro Es que me gusta todo! Me siento joven cuando la escucho!,Positivo,1,"[0.0004276438558008522, 0.9995723366737366]"
10 alarmas económicas y una receta desesperada. Un análisis en mi blog: ,Neutral,1,"[0.019365966320037842, 0.9806339740753174]"
"El líder del PSE de Álava, Txarli Prieto, ve ""razonable"" que se busquen ""vías de diálogo"" con la izquierda abertzale ""siempre, para avanzar""",Positivo,1,"[0.0012663804227486253, 0.9987335801124573]"
Soraya Sáenz de Santamaría denuncia en el Senado el derroche en el alquiler de edificios públicos. 100 millones de euros,Negativo,0,"[0.9990707635879517, 0.0009291963651776314]"
"El Estado Autonómico necesita adaptarse, buscar fórmulas eficaces para resolver los problemas sin duplicidades ni centralismo 28F",Positivo,1,"[0.003960685804486275, 0.9960392713546753]"
mrtfernandez pmorales usted_opina Al final me voy a acabr convirtiendo en un DJ!,Neutral,0,"[0.998132050037384, 0.001867952523753047]"
"PP insiste en el mensaje, semana tras semana: reforma laboral pretende ""frenar sangría de puestos de trabajo"". Congreso",Negativo,0,"[0.9995695948600769, 0.00043042126344516873]"
Desde que se supo que la crisis era una realidad hemos hecho un esfuerzo constante para reducir gastos y recortar allí donde se podía. CM,Positivo,1,"[0.0008909498574212193, 0.9991090893745422]"
El PP rechaza en solitario la propuesta de Pedro_Zerolo para que el Ayto exija a la CM que ejecute las obras del CEP de Fuencarral.,Negativo,0,"[0.9993109703063965, 0.000689002510625869]"
llegan los chinos!!.Huawei presenta la primera tableta con cuatro núcleos y pantalla de 10 pulgadas en el MWC12 ,Positivo,1,"[0.0005120465066283941, 0.9994878768920898]"
"Ironías: Chaves, expresidente de la comunidad con récord de paro, anuncia que vuelve a la universidad a dar clase de Derecho del Trabajo",Negativo,0,"[0.999643087387085, 0.0003568977990653366]"
"Se nos olvida:No es un problema de España!. La mayoría de países euro NO CUMPLEN con déficit.Por lo tanto, el ajuste cae por su propio peso",Negativo,0,"[0.9995511174201965, 0.0004489192506298423]"
Llevo todo el viaje intentando twitear y no había manera!,Negativo,0,"[0.9992105960845947, 0.0007893671281635761]"
Llegando a casa. Abrazo para todos!,Positivo,1,"[0.0002493428182788193, 0.9997506737709045]"
"Mi columna de esta semana en El Mundo de la Comunidad Valenciana. "" De silencios y fútbol"" ",Neutral,1,"[0.40770888328552246, 0.5922911167144775]"
Me voy a dar un paseo x sevilla mientras alikindoi_9 esta dando 3h seguidas de fisiologia! Jajaja animo bro!!,Positivo,1,"[0.00031449287780560553, 0.999685525894165]"
"Guau""Suanzes: Informe Gobierno Corporativo d SAN Remuneración de los consjeros: €40 millones. Retribución fija: 11 millones.Variable: 21,8”",Neutral,0,"[0.9895610809326172, 0.010438897646963596]"
"Mañana programón! Grande-Marlaska  de la Audiencia Nacional y el embajador de Irán en España.Petróleo, elecciones, derechos humanos.",Positivo,1,"[0.00046427370398305357, 0.9995357990264893]"
Los malos resultados de Vocento y la profundidad de la crisis de modelo y negocio de la prensa ,Negativo,0,"[0.9991469383239746, 0.0008530347258783877]"
".marisadeybarra: ""No podemos permitir que se produzcan retrocesos en la conquista de la igualdad” ",Negativo,1,"[0.001742639346048236, 0.9982573390007019]"
Muy pronto tendréis su nuevo disco con una colaboración sorpresa. Os dejo una foto para que podáis haceros una idea. ,Positivo,1,"[0.0002999971038661897, 0.9997000694274902]"
Nos vemos en TDtarde con nievesherrero_ a partir de las 18:45 y con susmoneo JesusCintora GOTZONEMORA Mari Pau y lodares de invitado.,Positivo,1,"[0.00025713659124448895, 0.9997428059577942]"
"Que habrá dicho de verdad de Guindos a Goldman Sachs, sus anteriores empleadores? ¿Que ahora España está atendida por sus propios dueños?",Negativo,0,"[0.9995976090431213, 0.0004024200316052884]"
"Que bueno!  “CruzDiez: Madrid: sol, pájaros cantando, risas de niños, gente haciendo deporte, cielo color mierda.”",Neutral,1,"[0.01709495298564434, 0.9829050302505493]"
Prisa y Vocento coinciden en presentar resultados ajustados planos sin costes de Portugal para uno y de reestructuración y La 10 en el otro,Neutral,1,"[0.009143106639385223, 0.9908568263053894]"
Londres desaloja a los 15M de una vez. TelediarioInter 20:30,Neutral,0,"[0.9989833235740662, 0.0010166827123612165]"
Ofrenda floral a Blas Infante ,Positivo,1,"[0.000525626412127167, 0.9994743466377258]"
El tormento de Dunia  ,Negativo,0,"[0.9994121789932251, 0.000587791611906141]"
"El la vespertina para suscriptores de ePeriódico, el pacto fical que propugna el PSC.  ",Neutral,0,"[0.7724631428718567, 0.22753693163394928]"
"30.0 españoles han nacido un 29/febrero, día que solo existe cada 4 años. ""Me jubilé en mi 16ª cumpleaños"", nos cuenta mañana uno en 20m",Neutral,0,"[0.977886974811554, 0.022112950682640076]"
S&P rebaja la deuda de la Generalitat valenciana al nivel de 'bono basura'. y lo que queda.  ,Negativo,0,"[0.9963003396987915, 0.003699655644595623]"
"Nadie de prnoticias se ha puesto en contacto conmigo para confirmar la ""noticia"". Es más facil usar verbos en condicional (""podría""""sería"")",Negativo,0,"[0.9994912147521973, 0.0005087096942588687]"
Fernández: 'Haríamos un mal favor ilegalizando ahora a Amaiur y Bildu'.  ,Neutral,0,"[0.9983460903167725, 0.001653946121223271]"
El problema d los republicanos silentes es ver los que defienden la República. Quién quiere que lo comparen con tira huevos a Urdangarín?,Positivo,0,"[0.9996286630630493, 0.0003713613550644368]"
"hahahahaha es horrible lo de ING, de verdad. “rosselloarrom: PilarGGranja muchos opinamos lo mismo, pero mientras paguen.”",Negativo,0,"[0.9992960691452026, 0.0007039513438940048]"
"“Rodolforantos: Pues sí, estuve viernes y sábado. Había mucha gente.",Neutral,1,"[0.0005427648429758847, 0.9994571805000305]"
"29f La calle nos está esperando para decir que no nos resignamos ante el brutal ataque a los derechos laborales, sociales y salariales.",Negativo,0,"[0.9982876181602478, 0.0017123324796557426]"
"mariviromero Un abrazo muy cordial, querida Mariví, para todos los vecinos y vecinas de Parque del Sur. También para ti",Positivo,1,"[0.00023984575818758458, 0.9997602105140686]"
".“acarcedo: PilarGGranja gato_directo que reduzcan cargos, coches, funcionarios, sibvenciones, consejeros, sueldos. Y que luego hable”",Negativo,1,"[0.23457129299640656, 0.7654287219047546]"
Esta mañana DiaAndalucia con rauljimenezj victorggpp morenobrenes y maria2gamez ,Neutral,1,"[0.0003856099210679531, 0.9996143579483032]"
"Para saber sobre como se las gasta  la dictadura de Qatar recomiendo viaje,ya no tendrán dudas sobre el patrocinador del Barça.",Negativo,0,"[0.9995027780532837, 0.0004972374299541116]"
Ahora sí. Twitter off,Negativo,0,"[0.9993867874145508, 0.0006131778354756534]"
Más hemeroteca: lo que opinaba el PP sobre legalizar Bildu hace menos de un año ,Neutral,0,"[0.925121545791626, 0.0748785063624382]"
Los correos de Stratfor revelan que EEUU tiene preparada una acusación contra Assange ,Negativo,0,"[0.9993497729301453, 0.0006501745083369315]"
"Ayer en el pleno del Ayuntamiento de Madrid, muy diferente de Elorrio. ",Neutral,0,"[0.957053005695343, 0.042947009205818176]"
"Euríbor cerrará febrero x debajo del 1,7%. Bajan las hipotecas, continuando la tendencia de descenso que empezo en los últimos meses de 2011",Positivo,1,"[0.0020528838504105806, 0.9979471564292908]"
"(1) Afloja el Anticiclón. A partir de mañana esperamos precipitaciones, débiles e intermitentes que hasta el domingo recorreán la Península.",Neutral,0,"[0.9914284348487854, 0.008571604266762733]"
"Tras lo dicho x vicepresidenta, espero ansioso su plan para rentabilizar el patrimonio inmobiliario inutilizado x administraciones. Si no.",Neutral,0,"[0.893994152545929, 0.10600586235523224]"
Pobre. Hacemos colecta El fundador de Megaupload pide al Tribunal 130.0 euros mensuales para vivir ,Neutral,0,"[0.9987364411354065, 0.0012635949533432722]"
Portada ABC ,Neutral,1,"[0.0005537104443646967, 0.9994463324546814]"
Portada La Vanguardia ,Neutral,1,"[0.0017848738934844732, 0.9982151985168457]"
"El euro abre al alza en el mercado de divisas de Fráncfort, se cambia a 1,3473 dólares, frente a los 1,3421 dólares de la jornada anterior",Positivo,1,"[0.0013867908855900168, 0.9986132383346558]"
