texto,sentimiento
"Cenas de 4.500 dólares en NYC , 26 botellas de vino.Como se lo montan Baltasar Garzón y Felipe González! Paga la banca ",Negativo
"Buenos días, gente. Feliz día de los rutipiluti y yo.",Positivo
"Viendo los apoyos internacionales confirmo: Critican la reforma los mismos inmovilistas que nos dejaron 5,3 mill parados.Y encima aleccionan",Negativo
Otra muy buena subasta. El Tesoro coloca el máximo previsto por debajo del 2% en letras a 12 meses ,Positivo
Feliz día de San Valentín a todos!❤,Positivo
"Se me ha estropeado la caldera. Un técnico llega a los 3d, sin piezas y dice q volverá pasado mañana. nadietrabaja 1/2",Negativo
La zona intermedia: Jonathan Littell en Siria.  ,Neutral
Psoe votara si a la reforma del sistema financiero del gob. enestosiseentienden,Neutral
"Soraya Rodriguez, PSOE ""votaremos que sí a la reforma del sistema financiero porque queremos  hacer oposición útil"" Congreso",Positivo
"Habrá cuatro tipo de señales: mupis, interpretativa (en forma de placa), direccional (indicará el recorrido) y huella (símbolo) sevillahoy",Neutral
"He escuchado a Rajoy decir que ""el mayor desprecio es no hacer aprecio"" y pensé que hablaba de Fitch. Pues no. Es por Contador y Nadal. País",Negativo
"Y mi preferida , la tengo de salvapantallas en el móvil! ",Positivo
"Empieza la oposición útil: el PSOE apoyará la primera gran reforma del PP, la del sistema financiero. ",Positivo
Mas EREs . Hasta donde llega la sombra de la corrupcion institucionalizada ? la respuesta la tiene: pepegrinan  ,Negativo
"El Gobierno traslada informalmente que sus previsiones de déficit son las mismas, Desmiente a la fuente de Reuters",Negativo
Lo que faltaba: Bruselas sospecha que el Gobierno infló el déficit y que está retrasando los recortes  ,Negativo
"El Gobierno de Mariano Rajoy ha desmentido ""tajantemente"" las sospechas de Bruselas sobre las cifras oficiales del déficit público. EP",Negativo
"Belloc, por otra parte grande, dijo que Wells era un provinciano y este respondió: ""Al parecer, el señor Belloc ha nacido en toda Europa"".",Neutral
"Ya hay más informaciones que desmienten .anabelenroy_tve El Gobierno  ha desmentido ""tajantemente"" las sospechas de Bruselas. EP",Negativo
"pedroj.ramirezelmundo.es “Lola_Zafra: pedroj_ramirez Estimado Pedro, un e-mail para remitirte una información?Gracias!BesitosLola”",Neutral
"A las 17.45 viene al estudio de JELO  Alicia Sanchez Camacho, seguramente la mujer con más poder hoy en Cataluña.",Positivo
"Rehn desmiente en bloque a Reuters x""incorrecta y engañosa"",no concreta análisis sobre el déficit de 2011 xq está en curso vía basteiro",Negativo
"Tanto miente el que edulcora o niega la crisis, como el que cabalga en el catastrofismo para amenazar miedo.",Negativo
"Si el Gobierno quiere desmentir que el déficit está inflado, debería detallarlo. Aún no hay datos oficiales de las autonomías y es clave.",Negativo
"Hoy m acompañan en DHAM_13tv y 13tv_AlDia JA Blay, nereaalzola , JesusCintora GOTZONEMORA JA Vera y Diego Armario",Positivo
"""RguezBurgos: El Ibex sigue paradito. Apenas baja 19 centésimas. Ni Moody´s, ni Reuters, ni la UE mueven a la bolsa.Impertérrita”",Negativo
"Reunión con el presidente del PP en el País Vasco, abasagoiti ",Neutral
Sigue la polémica sobre el escenario de la final de Copa ¿Debería celebrarse en el Bernabéu?,Negativo
"Para los vergonzosos que, siéndolo, no dicen que son de derechas: es más original decir que son agentes dobles que eso de que son de centro.",Negativo
Retos digitales en el Congreso. ,Neutral
"El PSOE sigue sin apooyar oficialmente las movidas sindicales, pero lo hace oficiosamernte. TelediarioInter 20:30",Neutral
Persecución de los xtianos en la India. Hablamos con un obispo de la zona. TelediarioInter 20:30,Negativo
Basagoiti: no asumen q somos mejores. Pues q les den. Guiñoles,Negativo
Doy por seguro q en la zona de prensa del Congreso de los diputados la temperatura supera los 31°C .,Neutral
PauladeLasHeras dejalo estar xq hay veces q no pasa de 15,Neutral
"ZP lo paró.El Gobierno iniciará la remodelación del paseo marítimo de Fuengirola este año"" ",Neutral
"""Ayer me porté mal en el cosmos. Viví todo el día sin preguntar por nada, sin sorprenderme de nada"".  Grandiosa Szymborska anapastor_tve",Positivo
abc.es: Basagoiti exige a ETA su disolución y la reinserción individual como a un violador ,Negativo
Mi nueva cancion d BRAVA MeVoy con EspinozaOficial ya a la venta en iTunesMusic ,Positivo
le gusta Everything You Do de Luther Russell  en Ping ,Positivo
Mañana pregunto al gobierno sobre la involucion laboral. Fraude y Expolio para expropiar  las rentas salariales.,Negativo
: lo que se agencian las agencias “quediario: Avance de la portada del diario Qué! miércoles 15 de febrero ,Neutral
"Para disfrutar no sólo del sexo sino también de su misterio hay que ser, además de voluptuoso, curioso, inquieto, un poco desasosegado.",Positivo
"Buenas noches a todos, que descanséis :-)) Twitteroff",Positivo
: “graciadelcielo: Me propuse para este San Valentin salvar mi matrimonio. Da clic en archivo &gt; Guardar como &gt; mi_matrimonio.doc ¡listo!”,Positivo
Preparando el macuto para ir a sevilla al Congreso del PP. Parece que fue ayer cuando fuimos al de Valencia. Y han pasado cuatro años,Neutral
"Majo_eltren: Los40_Spain quiero escuchar GeneracionPerdida del disco Positive Generation, Voces x un . ",Positivo
"enough today. ""en la modernidad no hay victorias ni derrotas sino una necesidad permanente de superación"" (anónimo). mañana más",Neutral
Que maravilla. Felicidades a todos. La flor y nata  abrahamelgar: AlejandroSanz pues hoy un dia cargado de . ,Positivo
Buenos días tengan ustedes.,Neutral
"El ministro israelí de Defensa, Ehud Barak, acusa a Irán de estar detrás de las explosiones en el centro de Bangkok.Hay un herido grave",Negativo
"La jueza q investiga ERE irregulares en Andalucía,acusa a la Junta de""idear un sistema""para eludir el control de UE en la concesión d ayudas",Negativo
Buenos días a todos!,Neutral
Portada Marca ,Neutral
"CGPJ examina hoy a 7 magistrados candidatos a presidir Sala de lo Penal AN.En la actualidad lo ocupa Gómez Bermúdez,q aspira a la reelección",Positivo
Hoy Día Internacional del Niño con Cáncer.,Neutral
El PP no aceptará la eliminación del «humanismo cristiano» en su ideario - ABC.es ,Neutral
Los socios privados de Limasa aceptan reducir sus beneficios para evitar la huelga de basura. ,Neutral
Rajoy a Rubalcaba: &quot;hay que tomar más medidas y no tendrán efecto inmediato&quot;,Negativo
PrensaCs: Albert_Rivera 'los ciudadanos tienen derecho a saber si lo q  hace el govern con las nuevas tasas  es inconstitucional o no',Neutral
"Fuerza  pploaiza: Solidez, cohesión y un amplio programa de reformas para transformar Andalucía.elcambioandaluz.",Positivo
"Vicepta.S: ""es una reforma justa. Se pone del lado de los 5millones de parados."" Se queda sin tiempo. Congreso",Positivo
Muy bueno ! ,Positivo
Héroes y heroínas de hoy by ajemalaga  ,Positivo
"Concepto de Democracia de Tomás Gómez al ver que cada vez tienen menos votos?: ""Debemos estar en la calle con la gente"" ",Neutral
Las obras comenzarán después de verano y se prevé que sea una realidad a principios de 2014 sevillahoy,Positivo
"Fdez Díaz: ""Señora Diez, dice que confundo prudencia con cobardía. Usted confunde oportunismo político con defender el Estado""",Negativo
“Tonicanto1: Ayer se nos comunicó que a partir de ahora está prohibido que los diputados saquemos fotos dentro de la cámara.”,Neutral
Irán suspende las exportaciones de petróleo a España y otros cinco países europeos vía la Ser,Negativo
Y este reciomanolo desafiante. Si los controles los has inventado tu.,Negativo
"""Redacción simulada"" para aprender periodismo ",Neutral
"A las 3 en A3noticias, Rajoy recibe a Rubalcaba en Moncloa después de discrepar en el Congreso sobre la reforma laboral",Neutral
Los socialistas andaluces se pelean hasta consigo mismos cuando no encuentran a quien echarle las culpas de su páramo de ideas.,Negativo
"A los socialistas andaluces no les importan ni los temas,ni las plazas, ni los opositores,sólo están opositando a los bancos d la oposición.",Negativo
“DavidSummersHG: Edurnity Oye.! A Madrid si quiero ir eh? Un besazo guapa!” Vamos ya contaba contigo si o si! Un besote enorme!!,Positivo
A Tv 3!,Neutral
En malaga con Inma!,Neutral
“alexfies: Edurnity en madrid cuando llega el musical? o ya esta.” el 21 de Febero!!,Neutral
Gracias a losamigos de laventana por el cariño!! Un placer!,Positivo
Acaba de terminar la reunion entre marianorajoy y _Rubalcaba_ En breve sabremos si ha habido acuerdo o no,Neutral
Aznar tendrá su discurso el sábado en el Congreso del PP en Sevilla,Neutral
Juandecolmenero ¿Qué está pasando en La Moncloa? ¿Saben que tenemos hora de cierre? ¿Quedarán para ver juntos el Madrid?,Neutral
JuanraLucas Malvado!,Negativo
"Laporta dice que TV3 no le da importancia suficiente al Barça.Pues menos mal,solo falta que Guardiola presente ls noticias etfelicitofill",Negativo
"En unos minutos en la tertuliapolítica de laventana en La_SER con Lourdes Lucia, Manuel Cruz, Gemma Nierga y Juanma Moreno Bonilla",Neutral
Extraño que Rubalcaba dedique media hora a preparar una rueda de prensa. Muy extraño,Negativo
"Resumen de entrevista Rajoy-Rubalcaba: han constatado su ""voluntad de acordar"", según el líder socialista, después de glosar los desacuerdos",Positivo
"La noche en que murió su hijo, Ricardo Baroja salió al balcón de Itzea e increpó al cielo: ""¡Tú, Triángulo, ¿por qué me haces esto?!""",Negativo
Reforma laboral: parece q hay poco margen xa modificación en tramite parlamentario,Negativo
"Retos debemos abordar en la economía aragonesa: Internacionalización, tecnología, innovación, calidad directiva, cualificación d plantillas",Positivo
La web de La Moncloa hace una excepción y no retransmite la rueda de prensa de Rubalcaba. Favores los justos.,Negativo
Juandecolmenero telepatía?,Neutral
"Desde luego, menudo crack. Uno de mis favoritos en EPN “Jumble20: ¿Hubieras contratado a Dutard como periodista de investigación de EM?”",Positivo
el que? Donde? Como? A que hora? “AnateMarchessi: Mañana presentación de Catssac CasiArteCom”,Positivo
estherpalomera se sabe quién comparece por parte del Gobierno?,Neutral
"Uno de los elementos más agresivos de reforma laboral de Rajoy es contrato supuestamente ""indefinido"" de 364 días de prueba contratotrampa",Negativo
"Existe un tercer fondodereptiles para afrontar pagos comprometidos por Empleo, y todo ello durante esta legislatura ",Positivo
Hermoso dia. ;) prometedor.,Positivo
Rubalcaba sigue ofreciendo apoyo light a la manifestación sindical del domingo. ¿Nadar y guardar la ropa? TelediarioInter 20:30,Negativo
GUTY14HAZ  gracias amigo! Enhorabuena por tu futura boda te deseo lo mejor!,Positivo
“glups!patricia_hd: Buenafuente Me da la impresión q al final todo será x internet. Las relaciones humanas definitivamente han cambiado.”,Negativo
"Que quede claro: la propuesta para el 17CongresoPP no es excluyente, ni ofensiva, ni va contra el cristianismo, que respeto profundamente",Positivo
Suscribo. Todo.  galtares: Gran post del gran ramonlobo Disparad contra Littell ,Neutral
Asi hacen desde el psoeandalucia traspaso de fondos entre consejerías de manera irregular ,Negativo
"? “edgarFdz: . xiskya yo tampoco soy creyente y bien que el estado os mantiene, no te jode. vividores”",Negativo
En Andalucía algunos políticos han robado a manos llenas el dinero para lis parados bajo la supervisión de Griñan. unaverguenza,Negativo
800 m€ ! hay diferencia. “heavydeo:  impunes como la mafia o como el pp de Valencia mismo perro con distinto collar jorgecampi”,Negativo
Paula Vázquez  Las fotos de esta tarde! ,Neutral
Humbertoelgato: Gracias paurubio por la buena vibra! Abrazos y muchos éxitos.. Foto: ,Positivo
Jack Vettriano. ,Neutral
Voy a entrar en mi facebook oficial  con un seudonimo. A ver cuanto tardais en descubrirme. Es muy facil.. Me . ,Positivo
Empezar el día riéndose! Muy fan! siamanecepunset _RobertoSanchez siamanece,Positivo
"Sostengo, desde principio, q vivimos crisis d modelo y q analizarla con anteojos partidistas (los mios buenos, los otros malos) en un error.",Negativo
Portada Qué - Madrid ,Neutral
Portada as,Neutral
73 denuncias por no recoger los excrementos de las  mascotas vía diario_sur  ,Negativo
Sueños que se cumplen.Gran labor la que hace Faisem . Vía diario_sur  ,Positivo
Leo en un diario q el PP habría renunciado a modificar la ley del aborto si se hubiese aceptado la información a los padres en adolescentes,Neutral
Buenos días tengan ustedes,Positivo
Wow!  adelreal_: No lo he soñado: ,Positivo
En el blog: Al fin la patronal está contenta ,Positivo
«Creo en una educación donde cada uno tenga la libertad de elegir centro» ,Positivo
"Ciutadans_Cs: Albert_Rivera: ""Que ICF y Govern expliquen a los ciudadanos bajo qué criterios se dieron créditos a 1 empresa en quiebra""",Negativo
"En la campaña escolar de educación vial en la que participan 3.700 niños de 62 centros, promovida por el AytoLogrono ",Positivo
Interviene ahora Luis Fernando Martínez de AT4 sobre innovación y comunicación elcambioandaluz ,Positivo
"ICV denuncia ""ticks"" antidemocráticos en la cámara porque la mesa del congreso no aceptó preguntas al gobierno relacionadas con el 23F",Negativo
"Ana Diaz , grupo Abengoa : "" En Andalucia somos una potencia en energías renovables y eso es una gran oportunidad"" elcambioandaluz",Positivo
". javierarenas_pp "" todas las políticas que voy a poner en marcha tendrán como objetivo crear empleo. Esa es mi prioridad"" elcambioandaluz",Positivo
calentando motores ,Neutral
El ferry accidentado en Formentera no encalló. Aterrizó: ,Negativo
sensato y ahorro“el_pais: El Parlamento Europeo propone eliminar la sede  Estrasburgo y mantener solo la de Bruselas ,Positivo
La recesión en España está cantada. Empresas y familias ya no pueden más ,Negativo
"Rt“AlbertoFreireB: VIVA ESPERANZA AGUIRRE. ""Aguirre reduce de 3.500 a 700 el número de liberados sindicales en Madrid"". 72M € de ahorro.”",Negativo
"“annabosch: Cameron intentado equilibrio entre el pragmatismo del ""juntos somos más fuertes""con emoción por ""casa común y viva, adaptable""”",Neutral
Gracias Rosa wellcomm: byuste se pospone entrevista para jueves próximo. Hablamos!,Positivo
"Ahora, esperanzaguirre contesta a ihenriquezluna sobre el bilingüismo en la Comunidad de Madrid ",Neutral
ya está bien de presionar al madrid con la final de la copa. Su afición ha hablado y lo ha dejado meridiano. enelbernabeuno. YA ESTÁ BIEN,Negativo
"Espero q no sea ese el motivo. jkracero: mariviromero no llega a final de mes.a lo mejor no tienen alli ""saca"" de reptiles",Negativo
"excusitas Feber ! Va a estar en Gato_directo ? Si, no? “Dama_Cristal: LosClones Que está pachucho o eso han dicho LosClones ! ;)”",Negativo
"El vasco es lengua cooficial, pero muy pocos lehendakaris lo han hablado. TelediarioInter 20:30",Negativo
Una pena que nadie quiera hablar de la enmienda de ccifuentes y angelgarridog que pide que a nadie se le prive nunca de la sanidad.,Negativo
Juas! alternativo Luciano Alonso y Marisa Bustinduy? de verdad pensba q no podian ni hacerse esta foto. ,Negativo
periodistas21 Confío en que la lean Dívar y el CGPJ y se lo apliquen cuando se critiquen las sentencias del Supremo y a sus magistrados,Neutral
"bipartito  lordcirus: Después de leer la entrevista a Mas, aún no entiendo como el PPC ha pactaco con CiU PPvergencia Albert_Rivera",Negativo
"No necesito saber derecho para discrepar de una sentencia, y  mucho menos cuando no es justicia, es un linchamiento político y corporativo.",Negativo
Una escucha lo de Burguillos y comprende Xq no se pueden hacer presupuestos generales. Andalucia es un pozo sin fondo! romancendoya,Negativo
Un beso!  nereaalzola Como liberal me enorgullece ver nuestra pluralidad y debate.Como católica debatimos cuando quieras! Bss,Positivo
Si es que se creen dueños y señores.La Junta cuestiona ahora la relevancia penal de los datos que le pide la juez ,Negativo
"Más.El PSOE de Cádiz, implicado en una trama de subvenciones  ",Negativo
": os dejamos la portada de mañana, b noches“quediario: Avance portada diario Qué! del viernes 17/02 ",Neutral
Salma. ,Neutral
Ahora a Zz.;,Neutral
Viernes! Morning.,Neutral
Buen viernes a todos ;-)),Positivo
Bdías. ¿Os parece lógico que un líder de UGT gane 181.0€ como consejero de un banco y encabece manis contra la reforma laboral?,Negativo
Buenos días. Comenzamos el viernes,Neutral
Buenos días. ¿Para cuándo noticias que nos hagan felices?,Negativo
Portada As ,Neutral
A través de SMS se ofrece a los usuarios poder probar y quedarse un iPhone5.¡OJO!es una estafa para conseguir los datos de los usuarios (EP),Negativo
Buenos días a todos!,Positivo
En unos minutos javierarenas_pp en La_SER en directo,Neutral
China qjuiere opinar sobre el nuevo Director del Banco Mundiasl ,Neutral
"A partir d ls 10:30h tengo entrevista en el programa L'espiral, de radio St. Andreu (91.6FM BCN)",Neutral
Ya en Fuengirola el concejal Antonio Castillo dejo el grupo del PSOEmalaga para pasar a ser concejal no adscrito. Se ve q esta de moda,Neutral
Pido mi derecho a impugnación dl tusiquechaves de ayer en LosClones Nada personal contra romancendoya la no comparecencia me da victoria,Negativo
Servicio publico de Justicia manifiestamente mejorable. Cola eterna para una simple notificación ,Negativo
este es el listón que rige en Europa. El presidente alemán anuncia su dimisión por un escándalo de corrupción ,Negativo
Un sistema operativo integrará iPhone y iPad ,Positivo
"""Al ser el riesgo de despido muy reducido, se desincentiva el esfuerzo"", según Memoria del decretazo. estradaamparo ",Negativo
FF a irene_airmiles x la performance q vamos a montar. no quedara títere con cabeza.,Positivo
"Mou pisa el freno: ""No buscamos récords, ni el alirón, ni pasillos en el Camp Nou, sólo ganar el próximo partido"" ",Neutral
"“iregoman: David_Busta un saludo desde Costa Rica, Pura Vida mae!” PURA VIDA!",Positivo
Tal vez a alguien le interese mandar CV para componer el Comité Externo Asesor de la OMS. Anuncio en The  Economist. ,Positivo
"Qué cansino es el tono de las comparecencias de los portavoces del Gobierno. Ahora y antes, como si dijeran a ver si os enteráis de una vez.",Negativo
"A las 3 en A3noticias, Antonio Lobato ficha por Antena 3 para comentar las carreras de Fórmula 1",Positivo
"Frase de taxista:""a ver si estos del 17congresoPP se gastan más que los del PSOE del otro día, que venían sin un duro""",Negativo
Ejemplo de la expo homenaje a Fraga ,Positivo
La naturaleza no hace distingos por el color de la sangre: Miembro de la familia real holandesa enterrado por un alud ,Negativo
La Policía italiana se incauta de 6 billones de dólares en bonos del Tesoro de EEUU falsificados - ,Negativo
Un saludo y abrazo grande a todos los compañeros que están en 17congresopp . Yo en clase en EscuelaESESA . Mañana a primera hora ahí ;-)),Positivo
El Alcalde de Sevilla abre el congreso del PP. Llueve en Sevilla. Es la única sorpresa de la tarde. ,Neutral
"Hoy m acompañan en 13tv_AlDia Montserrat Suárez, Vallvey Dani Múgica y Enrique Martínez. entre otros. 21.15 13television",Neutral
"Decir que el discurso antinuclear está obsoleto después de la catástrofe de Fukushima, es estar fuera de este mundo o ser un nihilista.",Negativo
Discursos aburridos y sin titulares en el comienzo del 17CongresoPP. Espero q mdcospedal nos resuelva la tarde con discurso q arranca ya,Neutral
Panorámica del 17congresoPP ,Neutral
"Alfonso Alonso dice que no se haga caso al discurso del miedo, poruqe no hay más miedo que el que puedan tener más de 5 millones de parados.",Neutral
Estamos a punto de empezar TDtarde y hoy esta con nosotros marodriguezb sentado ya a la vera de nievesherrero_,Neutral
Se nota tensión en el ambiente del congreso del PP. (La de los periodistas para encontrar títulos),Negativo
"Si sigues Iran,recomendable..Analysis: Ahmadinejad seen big loser in Iran election ",Neutral
Soraya dice q respeta la manifestación del domingo pero insta a los sindicatos a ser más transparentes. TelediarioInter 20:30,Positivo
¿Qué tal está siendo vuestra experiencia como usuarios de las películas gratis en Orbyt? Yo he visto ya alguna escena de las 7 primeras.,Positivo
Nos vemos en el manteca. ;)  ISABELMTD: AlejandroSanz que arte tienes. me encanta saber que sigues el . ,Positivo
Jajaja pero por supuesto. Sabeis que os adoro.  MILENKABR: AlejandroSanz Y no le gustaria venir a Perú? :(,Positivo
Jejeje esto que es?. No entiendo mucho pero os mando abrazos.  LasPrimasDSanz: AlejandroSanz AlejandroSanz 31 Days without nif,Neutral
no puedo decir nada. ;)  LOSMARESDESANZ: AlejandroSanz Se viene dueto con fat joe? ,Neutral
¿Alguno de los que andan en el congreso del PP puede contarme si la expo sobre Fraga incluye alguna foto de su etapa franquista? Curiosidad.,Negativo
"El Congreso del PP lo tenia que presentar José Luis Fradejas, el de ""Aplauso"", TVE época viejuna.",Neutral
Encantada de desvirtualizar a maicagq13 en 17CongresoPP :-),Positivo
3/ Se mantiene el rechazo de la tortura animal en TVE.4/ Se suprime la referencia redundante y contradictoria en horario infantil.,Positivo
"Carlos Fabra incluido?  “PabloAIglesias: Los nuevos Estatutos PP obligan a expedientar automaticamente a imputados y llevados a juicio""",Negativo
"Pero bueno.  “sanchez_sonia: Atención! La ponencia del PP, a pesar de lo dicho por santiagocervera, no reconoce el matrimonio gay”",Neutral
"No me he debido expresar bien en hora25. Intenté contar la idea de que se había debatido sobre el matrimonio gay, y que por primera vez.",Negativo
Qué lección de defensa acaba de darle el Fuenla al Madrid. Sólo Felipe tira del equipo. Eso lo dice todo.,Neutral
Menéame (si quieres): El otro álbum fotográfico de Manuel Fraga ,Neutral
FF ;-)  crisvarona: FF y besitos para mis followers mariviromero,Positivo
"Me voy a dormir convencido de que por mucho que expliques algo, siempre hay alguien q es inasequible a la evidencia. Recomiendo El Castillo",Positivo
He visto algunas en internet. Gran detalle del Love subir a las agrupaciones que no pasaron.  nanarosal: . ,Positivo
Buenos días ;-)) q tengáis un sábado estupendo ;-)),Positivo
"Puedes ver las 7 cuando quieras “Ruphusderota: solo se puede ver una pelo al día? Ya he visto Amen y he quedado ""pasmao"" como el guerra.",Positivo
"A pesar de que decían ""no poder hacerlo""elconfidencial:La banca tira de empleados y agentes externos para vender pisos ",Negativo
"Aquí tenéis a reciomanolo , a esto se dedica .EREs ",Negativo
"Bueno, pausa para desayunar y cosas que hacer. Poco tiempo pero siempre agradable compartirlo con vosotros.",Positivo
MarianoRajoy  será reelegido hoy presidente del PP ,Positivo
"Qué cosas, muere Enrique Sierra el mismo día que Yurena presenta nuevo disco en Sálvame. ",Neutral
Seguimos en el 17CongresoPP comprometidosconEspaña ,Neutral
Montoro defiende que haya ministros en la nueva Ejecutiva del PP q marianorajoy anunciara esta tarde 17CongresoPP. Teletipo servimedia,Positivo
Hagamos_nuestro_propio_camino ,Neutral
"Buenos días amigos!!;) y una vez más, GRACIAS por vuestro cariño!;)",Positivo
"En la C_A_2012 ""Si al PP le interesara algo más que el poder habría presentado los presupuestos generales para luchar contra la crisis""",Negativo
"En la C_A_2012 ""La reforma laboral propone despedir barato a los mayores para contratar en precario a los jóvenes""",Negativo
"gaceta_es: Aguirre ve ""escandalosos"" los sueldos de ""todos"" en las cajas con ayudas ",Negativo
Debate y aprobación de las ponencias en 17CongresoPP  ,Positivo
"¡Dios! Llevo en la tele desde las 8.30 y aún no he escrito ningún tweet. ¿Qué me pasa, doctor?",Neutral
A las 13:10 llega Rajoy al 17CongresoPP. Entrada triunfal y saludo sonriente entre él y Aznar,Positivo
Gracias :-)  ppchamberi: Nuestra flamante Delegada de Gobierno .ccifuentes en el 17congresopp  ,Positivo
Congreso PP. Compromisarios viendo un video biográfico de Fraga. 17CongresoPP ,Neutral
"Lennart, trabajador de Spanair, emprende hoy su marcha corriendo de Barcelona a Madrid. Se plantará en Moncloa para que alguien le escuche.",Positivo
Con tanto ladino en el consejo de Administración de VE hay que ir con pies de plomo.,Negativo
Impresionante foto de la gran representación del PPMalaga en el 17congresopp c/c eliasbendodo ;-) ,Positivo
"La parte que más ha triunfado de Aznar, las criticas a Zapatero, ""Hemos dejado atrás el peor Gobierno se la democracia""",Neutral
"Aznar, a la cúpula del PP: ""Os han elegido para aplicar sobre los verdugos (de ETA) todo el peso de la ley""",Negativo
"Aznar: ""Nunca en los últimos años ha estado tan claro lo que se votaba. Nunca ha habido un mandato tan nítido""",Positivo
Felicidades a los Crew Peligrosos y saludos a todo el barrio Aranjuez !! ,Positivo
"Qué oido!!  Butterworth_: mrtfernandez Pregunta tonta: En ""Intacto"" de Fresnadillo ¿era tu voz la que sonaba de fondo en un informativo?",Positivo
Otra foto de mi intervención esta mañana en 17CongresoPP comprometidosconEspaña ,Neutral
"Veracruz! Q lindo amanecer. Q bella mañana,hoy x primera vez baby nico me vera cantar en (cont) ",Positivo
"EnriquePatron2: paurubio wow! Q emocionante! Yo te espero en Acapulco, el próximo mes! Ya tengo mía tickets!",Positivo
Encantado :)“MariaToledoMT: JuanraLucas amigo!! mi nuevo single dameunaoportunidad que se estrena hoy ,Positivo
Comienza su intervencion para presentar su candidatura en el 17congresopp marianorajoy ,Neutral
"Rajoy sobre las elecciones andaluzas: ""ya estoy sintiendo la alegría del triunfo"" 17CongresoPP",Positivo
"""Yo confieso, sin ningún pudor, que ya estoy sintiendo la alegría por el triunfo del PP en las elecciones andaluzas"". Rajoy 17congresopp",Positivo
"En la quinta fila, tercera hilera hay un compromisario con camisa de Polo que ha dejado de aplaudir a Rajoy antes que los demás. Se la juega",Negativo
.y en la calle codo a codo somos mucho más que dos.(C. Álvarez),Neutral
"Rajoy: ""La gente nos dice, ya te hemos votado, ahora cumple. Haz lo que tengas que hacer y hazlo deprisa. Es la hora de las respuestas""",Positivo
".marianorajoy "" llevo en el PPopular desde 1977 y he hecho todo lo que me han mandado, menos afiliarme que lo hice yo"" 17CongresoPP",Neutral
"""Ya se lo que dicen de mi "" pero a mi que me importa ?. Rajoy en plan monólogo con confidencias.",Negativo
".marianorajoy "" creo en el afán de superación y me gusta la gente tolerante "" 17CongresoPP",Positivo
"De la misma manera que la oposición tiene ""gobierno en la sombra"" el poder tiene ""gobierno en la sombrilla"". La pedrea que lee Rajoy.",Negativo
Rajoy apuesta por el continuismo.Cospedal sec. general. Arenas y Pons continúan vicesecretarios.Floriano vicesecretario de organización,Positivo
Rudi afirma que el PP no renuncia bajar impuestos a través de reformas fiscales  ,Positivo
Dentro de 30' estaré en Radio Marca con Edu García SinTacos para comentar el partido del Madrí.,Neutral
Enhorabuena igonzalezPP . Nuevo miembro del Comité Ejecutivo Nacional,Positivo
"alineación en el PP: Cospedal, secretaria general; Pons, Floriano y Arenas, vicesecretarios - ABC.es ",Neutral
Si hay amor &lt;3 hay todo. ! Hay amor o no hay amor ?,Positivo
+1  davidserrato1: ccifuentes quediario sin duda alguna la persona mas activa dl PP en TW es mariviromero un saludo y buen congreso!!,Positivo
Aznar como siempre poniendo deberes a Rajoy: reformas ya y ni un movimiento ante ETA. congresopp,Negativo
Esperando para animar a mi sevilla fc! Vamos sevilla!,Positivo
Con la vicepresidenta del Gobierno Sorayapp en 17CongresoPP  ,Neutral
Impresionante Mirotic.ahora mismo máximo anotador.,Positivo
En el 17CongresoPP con el presidente de la Xunta de Galicia Alberto Núñez Feijoó ,Neutral
"El PP rechaza las cuotas. Dicen que basta con la capacidad. No me creo que entre los 20 primeros sólo haya una mujer ""capaz""!!",Negativo
Ahora a buscar a los 66 delgados q no han votado a Rajoy como presidente del PP. periodismodeinvestgigacion,Negativo
"Pues a mi me da igual que existan los sindicatos. Otra cosa es que los subvencionen, de eso ni hablar. Q se financien con cuotas d afiliados",Negativo
"Otro para ella, está muy guapa “cri7cri7: pedroj_ramirez : Isabel de Castilla te manda un beso ",Positivo
Ganó el Madrid. El Banca Cívica le plantó cara. Mañana partidazo. Final CopadelRey Madrid-Barça.!,Positivo
ElenaValenciano No es eso: es que la capacidad la miden los hombres,Neutral
hahahshahshshaha “TrasgodeGaceta: fray_fanatic Guals pilarggranja pilartimermans El primer deber es asegurarse un retiro dorado”,Neutral
Es una vergüenza q las rentas del trabajo soporten la mayor carga tributaria y q las pequeñas empresas tributen a más tipo q las grandes.,Negativo
"Es decir, en Madrid la mejor educación publica de España, y el portavoz del Psoe se dedica a la demagogia barata. Xq serán 110 n Congreso?",Neutral
La moral entendida como sistema de obligaciones y sanciones instalado a la vez en el espíritu publico y el privado.JL Pardo Babelia,Neutral
"A los músicos , aquí les recomiendo un buen Luthier de Medellin. ltguitars, leomusic4.",Positivo
ccifuentes rafaminer davidserrato1 pepegrinan JoseantonioJun buenas noches ;-)) a ver si te veo mañana,Positivo
9 pasos básicos para crear una estratégia de marca personal (personal branding) ,Positivo
El barco de Jack y su gemela. que nostalgia de clima. Muy buenas noches followercetes!  ,Neutral
"Bdías. Más de 3.0 orbyteros vieron ayer alguna de las pelis gratis. La + vista El Amante, seguida de Amen y de Ali. Hoy domingo de cine.",Positivo
matrujil y para ti.,Neutral
Hoy clausuramos 17congresoPP cohesion union y fortaleza de un partido en Gobierno que solo piensa en luchar contra la crisis. B Dias!!,Positivo
